Table Name,File Path,Data Element,Data Type,Bizterm Group,Layer,Business Term,Description,Biz Logic,Origin (Source Data),Sensitivity (PII/non PII),Impact,Time Aggregation,Possible Values
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_nik_age,tinyint,customer_profile,primary,,Age of customer as per NIK,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_nik_age,No,Low,Weekly,Any number
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_bill_cycle,string,customer_profile,primary,,What is the bill cycle of the customer,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_bill_cycle,No,Low,Weekly,Any string
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_persona_los,int,customer_profile,primary,,LOS of the persona ID that the customer is part of,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_persona_los,No,Low,Weekly,Any number
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_prsna_quadrant,string,customer_profile,primary,,Quadrant in which the persona lies,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_prsna_quadrant,No,Low,Weekly,Any string
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_arpu_segment_name,string,customer_profile,primary,,ARPU segment that the customer falls in,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_arpu_segment_name,No,Low,Weekly,Any string
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_mytsel_user_flag,string,customer_profile,primary,,Does the customer use mytsel,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - fea_custprof_mytsel_user_flag,No,Low,Weekly,Any string
l2_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet,weekstart,date,customer_profile,primary,,date of first Monday of then week in which event occured in yyyy-MM-dd format,,hdfs:///data/landing/gx_pnt/mck_dmp_pipeline/01_aggregation/customer_profile/customer_profile_weekly.parquet - weekstart,No,Low,Weekly,Any date
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,msisdn,string,customer_profile,feature,,Mobile Number which are common with partner msisdn,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - msisdn,Yes,Low,Weekly,Any string
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_lte_usim_user_flag,string,customer_profile,feature,,Is the sim lte capable,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_lte_usim_user_flag,No,Low,Weekly,Any string
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_area_sales,string,customer_profile,feature,,Area from where the MSISDN was purchased by the customer,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_area_sales,No,Low,Weekly,Any string
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_region_sales,string,customer_profile,feature,,Region of the sales of the sim card,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_region_sales,No,Low,Weekly,Any string
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_bill_responsibility_type,string,customer_profile,feature,,What is the bill responsibility type of the customer,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_bill_responsibility_type,No,Low,Weekly,Any string
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_segment_data_user,string,customer_profile,feature,,Segment to which MSISDN belong as per data usage,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_segment_data_user,No,Low,Weekly,Any string
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_los,bigint,customer_profile,feature,,Length of relation the customer holds with the telco,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_los,No,Low,Weekly,Any number
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_status,string,customer_profile,feature,,"Status of the MSISDN sim (active, deactivated, grace)",,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_status,No,Low,Weekly,Any string
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_brand,string,customer_profile,feature,,Which brand of sim is the customer using,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_brand,No,Low,Weekly,Any string
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_price_plan,string,customer_profile,feature,,Price plan of trhe MSISDN,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_price_plan,No,Low,Weekly,Any string
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_cust_type_desc,string,customer_profile,feature,,Customer type,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_cust_type_desc,No,Low,Weekly,Any string
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_cust_subtype_desc,string,customer_profile,feature,,Customer subtype,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_cust_subtype_desc,No,Low,Weekly,Any string
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_segment_hvc_mtd,tinyint,customer_profile,feature,,Is the MSISDN a high value customer,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_segment_hvc_mtd,No,Low,Weekly,Any number
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_segment_hvc_m1,tinyint,customer_profile,feature,,Is the MSISDN a high value customer,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_segment_hvc_m1,No,Low,Weekly,Any number
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_loyalty_tier,string,customer_profile,feature,,Loyalty tier of the customer,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_loyalty_tier,No,Low,Weekly,Any string
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_nik_gender,string,customer_profile,feature,,Gender of customer as per NIK,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_nik_gender,No,Low,Weekly,Any string
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_nik_age,tinyint,customer_profile,feature,,Age of customer as per NIK,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_nik_age,No,Low,Weekly,Any number
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_bill_cycle,string,customer_profile,feature,,What is the bill cycle of the customer,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_bill_cycle,No,Low,Weekly,Any string
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_persona_los,int,customer_profile,feature,,LOS of the persona ID that the customer is part of,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_persona_los,No,Low,Weekly,Any number
l4_customer_profile,hdfs:///data/landing/gx_pnt/mck_dmp_training/04_features/customer_profile/customer_profile_all_weekly_partner_2.parquet,fea_custprof_prsna_quadrant,string,customer_profile,feature,,Quadrant in which the persona lies,,hdfs:///data/landing/gx_pnt/mck_dmp_training/02_primary/customer_profile/customer_profile_all_weekly_partner_2.parquet - fea_custprof_prsna_quadrant,No,Low,Weekly,Any string
